#Частота, ГГц;  КСВ
         36.5;  2.7
         37.4; 1.48
         38.1;  2.6
           39;  1.5
         39.7;  2.3
         40.6; 1.54
         41.5;  2.3
         42.4; 1.62
         43.3;  2.5
           44; 1.64
         44.8; 2.24
         45.9;  1.4
         46.7; 1.76
         47.5; 1.36
         48.4; 1.66
         49.6; 1.31
         50.4; 1.82
         51.4; 1.22
         52.3; 1.76
 
